Timestamp,Date_Of_Birth,Gender,Personality_Trait,Aptitude,Parents_Education,Family_Lifestyle,Address,Math,English,Bio,Chemistry,Physics,ICT,Business,if_HS_Student,Study_Method,Study_Habit,English_Proficiency,IELTS_Score,Favorite_Subject,Career_Interest,Extracurricular,Achievements,Study_Country,Chosen_University,Influence
2025/09/28 10:37:41 PM GMT+6:30,07/08/2005,Female,ISFP,4–6 → Medium aptitude,Graduate,Moderate / Average,Yangon ,88,90,60,85,78,67,50,no,Tuition / Extra Classes,1–2 hours,Intermediate,0,English,Medicine,"Volunteering at hospitals, clinics, or NGOs",DIY / Project recognition,USA;Canada;Singapore,NUS ,Personal interest / passion
2025/09/28 10:41:27 PM GMT+6:30,15/06/2006,Male,INFP,7–8 → High aptitude,Graduate,Comfortable / Above average,Yangon,90,80,0,0,70,80,0,no,Group study,2–3 hours,Intermediate,5.5,ICT,IT,Programming / coding clubs;Hackathons / App development projects;DIY projects,Programming / Coding award,UK;USA;Canada;Singapore,,Personal interest / passion
2025/09/28 10:44:07 PM GMT+6:30,28/09/2025,Male,ISFJ,7–8 → High aptitude,Non-Graduate,Moderate / Average,mandalay,68,63,94,88,82,0,0,no,Self-study,More than 4 hours,Intermediate,4.5,ICT,Medicine,"Volunteering at hospitals, clinics, or NGOs",Other (please specify),USA,oxford,Personal interest / passion
2025/09/28 10:59:19 PM GMT+6:30,15/06/2007,Female,INFP,4–6 → Medium aptitude,Non-Graduate,Comfortable / Above average,I have attended Tet Nay Lin,56,54,55,41,40,50,50,no,Self-study,More than 4 hours,Beginner,0,Math,Medicine,Debate / Public Speaking,Other (please specify),Thailand,,Family influence / parental guidance
2025/09/28 11:04:51 PM GMT+6:30,22/09/2009,Male,INFJ,7–8 → High aptitude,Graduate,Moderate / Average,private online school ,89,80,0,0,0,0,0,yes,Self-study,1–2 hours,Intermediate,7,Math,IT,Debate / Public Speaking;Programming / coding clubs,Other (please specify),UK;Singapore;Thailand,haven't decide ,Family influence / parental guidance
2025/09/28 11:14:37 PM GMT+6:30,18/11/2009,Female,INFP,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay,86,82,76,85,78,84,0,yes,Tuition / Extra Classes,1–2 hours,Intermediate,0,Science,Medicine,DIY projects,Other (please specify),Singapore,,Peer influence / friends
2025/09/28 11:56:07 PM GMT+6:30,23/09/2007,Female,ENFP,4–6 → Medium aptitude,Graduate,Comfortable / Above average,Yangon,83,70,0,0,0,75,90,no,Self-study,3–4 hours,Intermediate,7,Math,Business,"Debate / Public Speaking;Student Council / Leadership Roles;Volunteering at hospitals, clinics, or NGOs",Volunteering recognition,Canada,Seneca College,Previous academic performance / aptitude
2025/09/29 12:13:54 AM GMT+6:30,19/06/2008,Female,ISFJ,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Yangon,94,81,95,94,93,83,0,yes,Self-study,More than 4 hours,Advanced,0,Science,Medicine,Debate / Public Speaking;Student Council / Leadership Roles,Student Council / Leadership role,UK;Singapore,,Personal interest / passion
2025/09/29 5:19:31 AM GMT+6:30,01/03/2003,Female,ESTJ,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Mandalay,97,95,97,94,0,0,0,no,Self-study,1–2 hours,Advanced,0,Science,Medicine,Debate / Public Speaking;Science clubs,Other (please specify),USA,university of Hawaii at manoa,Personal interest / passion
2025/09/29 8:36:29 AM GMT+6:30,08/05/2006,Female,ISTP,4–6 → Medium aptitude,Graduate,Moderate / Average,Magway,97,80,0,96,94,70,0,no,Self-study,1–2 hours,Intermediate,0,Science,Engineering,DIY projects,DIY / Project recognition,UK;USA;Canada,,Personal interest / passion
2025/09/29 10:23:09 AM GMT+6:30,25/05/2010,Male,INTJ,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay ,84,90,86,84,98,0,0,yes,Self-study,1–2 hours,Intermediate,0,Math,Medicine,Debate / Public Speaking,Other (please specify),USA,,Family influence / parental guidance
2025/09/29 10:30:40 AM GMT+6:30,11/10/2005,Male,ENTJ,4–6 → Medium aptitude,Graduate,Comfortable / Above average,Monywa,68,82,0,43,56,0,0,yes,Tuition / Extra Classes,More than 4 hours,Intermediate,0,ICT,IT,Programming / coding clubs,Other (please specify),Thailand,I want to attend,Job availability / employment prospects
2025/09/29 10:33:00 AM GMT+6:30,06/02/2010,Male,INTJ,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Mandalay,95,85,90,80,85,97,0,yes,Self-study,Less than 1 hour,Advanced,0,English,IT,Programming / coding clubs;Hackathons / App development projects,Hackathon / App competition prize,UK;Singapore,Oxford,Personal interest / passion
2025/09/29 10:37:51 AM GMT+6:30,27/02/2009,Male,ENTJ,4–6 → Medium aptitude,Non-Graduate,Comfortable / Above average,Mandalay,91,43,88,30,75,65,0,yes,Tuition / Extra Classes,1–2 hours,Intermediate,0,Math,Engineering,DIY projects,Other (please specify),Singapore,,Previous academic performance / aptitude
2025/09/29 10:38:34 AM GMT+6:30,14/09/2006,Female,ISTP,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Mandalay,34,27,0,0,30,30,0,yes,Tuition / Extra Classes,1–2 hours,Intermediate,0,Physics,IT,Student Council / Leadership Roles,Student Council / Leadership role,UK,INTO MANCHESTER ,Personal interest / passion
2025/09/29 10:38:38 AM GMT+6:30,07/05/2009,Male,ENTP,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay,85,70,0,0,76,76,0,yes,Tuition / Extra Classes,2–3 hours,Beginner,0,ICT,Engineering,DIY projects,Other (please specify),Singapore,,Job availability / employment prospects
2025/09/29 10:38:54 AM GMT+6:30,11/04/2008,Female,ISFP,7–8 → High aptitude,Graduate,Moderate / Average,GIC,76,92,90,68,80,86,0,yes,Self-study,2–3 hours,Intermediate,0,English,Medicine,"Volunteering at hospitals, clinics, or NGOs",Debate / Public Speaking awards,Canada,University of Toronto ,Job availability / employment prospects
2025/09/29 10:40:31 AM GMT+6:30,22/09/2008,Female,ISTJ,4–6 → Medium aptitude,Graduate,Limited / Basic,Mandalay,96,70,0,0,98,99,0,yes,Self-study,2–3 hours,Beginner,0,ICT,IT,"Volunteering at hospitals, clinics, or NGOs",Volunteering recognition,UK;USA;Canada,,Personal interest / passion
2025/09/29 10:40:39 AM GMT+6:30,10/04/2009,Female,INTJ,7–8 → High aptitude,Graduate,Moderate / Average,Pyin Oo Lwin,90,85,90,85,95,85,75,yes,Self-study,1–2 hours,Intermediate,0,Science,Medicine,"Volunteering at hospitals, clinics, or NGOs",Volunteering recognition,Canada,Sapienza,Family influence / parental guidance
2025/09/29 10:41:50 AM GMT+6:30,12/02/2008,Prefer not to say,ESTJ,0–3 → Low aptitude,Non-Graduate,Comfortable / Above average,Yangon,56,65,0,0,0,86,0,no,Self-study,Less than 1 hour,Beginner,0,English,IT,Debate / Public Speaking,Volunteering recognition,UK,,Personal interest / passion
2025/09/29 10:42:20 AM GMT+6:30,10/05/2008,Female,INFJ,4–6 → Medium aptitude,Graduate,Comfortable / Above average,Mandalay ,72,85,96,91,82,100,70,no,Tuition / Extra Classes,More than 4 hours,Intermediate,0,Business,Business,DIY projects,DIY / Project recognition,Singapore,nanyang technological university,Personal interest / passion
2025/09/29 10:43:10 AM GMT+6:30,10/10/2008,Female,ISFJ,4–6 → Medium aptitude,Graduate,Moderate / Average,Mandalay,90,90,0,0,80,90,0,yes,Tuition / Extra Classes,2–3 hours,Advanced,0,Math,IT,DIY projects,Student Council / Leadership role,Singapore,,Family influence / parental guidance
2025/09/29 10:43:40 AM GMT+6:30,18/03/2008,Female,ENTP,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay,55,95,90,95,90,80,80,yes,Self-study,1–2 hours,Intermediate,0,English,IT,DIY projects,Other (please specify),UK;USA;Canada,,Job availability / employment prospects
2025/09/29 10:44:23 AM GMT+6:30,12/10/2007,Female,INTP,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay,20,83,0,0,0,38,0,yes,Tuition / Extra Classes,Less than 1 hour,Intermediate,0,English,Business,Debate / Public Speaking;DIY projects,DIY / Project recognition,UK,have not researched ,Personal interest / passion
2025/09/29 10:44:34 AM GMT+6:30,29/09/2025,Female,ENTP,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay ,78,83,0,0,72.5,69,0,no,Self-study,2–3 hours,Advanced,0,English,IT,Debate / Public Speaking,Volunteering recognition,Canada,University of Alberta,Personal interest / passion
2025/09/29 10:44:36 AM GMT+6:30,02/12/2009,Male,ISTJ,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay,77,89,90,65,86,87,0,no,Self-study,1–2 hours,Advanced,0,ICT,Medicine,Debate / Public Speaking,Other (please specify),Singapore,,Previous academic performance / aptitude
2025/09/29 10:45:54 AM GMT+6:30,16/10/2009,Female,ISTJ,7–8 → High aptitude,Graduate,Moderate / Average,Monywa,70,60,0,0,0,60,24,yes,Self-study,1–2 hours,Intermediate,0,Math,Business,Debate / Public Speaking;DIY projects,Debate / Public Speaking awards,Singapore,,Personal interest / passion
2025/09/29 10:47:23 AM GMT+6:30,27/02/2009,Male,ENTJ,4–6 → Medium aptitude,Non-Graduate,Comfortable / Above average,mandalay,88,44.5,0,45,76,70,0,yes,Group study,1–2 hours,Beginner,0,Math,Engineering,Building miniatures / models,Other (please specify),Canada,,Previous academic performance / aptitude
2025/09/29 10:51:15 AM GMT+6:30,03/08/2007,Male,ISFJ,4–6 → Medium aptitude,Non-Graduate,Comfortable / Above average,Mandalay,60,80,0,50,40,60,45,yes,Tuition / Extra Classes,More than 4 hours,Intermediate,0,English,Business,Debate / Public Speaking,Other (please specify),USA,Harvard,Job availability / employment prospects
2025/09/29 10:52:02 AM GMT+6:30,23/07/2009,Female,ISFP,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Mandalay,75,80,0,70,75,65,0,yes,Tuition / Extra Classes,2–3 hours,Intermediate,0,Math,Business,"Volunteering at hospitals, clinics, or NGOs;DIY projects;Building miniatures / models",DIY / Project recognition,Singapore,SIM,Job availability / employment prospects
2025/09/29 10:52:48 AM GMT+6:30,14/03/2007,Female,ISTJ,9–10 → Exceptional aptitude,Non-Graduate,Comfortable / Above average,Mandalay,85,45,83,95,89,85,0,yes,Self-study,2–3 hours,Intermediate,0,Math,Engineering,Building miniatures / models,Other (please specify),Singapore,poly,Personal interest / passion
2025/09/29 11:11:05 AM GMT+6:30,10/01/2008,Male,ISFJ,7–8 → High aptitude,Non-Graduate,Limited / Basic,Yangon,95,70,0,80,82,0,73,yes,Self-study,2–3 hours,Intermediate,0,Math,Engineering,"Volunteering at hospitals, clinics, or NGOs;Building miniatures / models",Model building recognition,USA,,Job availability / employment prospects
2025/09/29 12:09:45 PM GMT+6:30,16/03/2008,Female,ISFJ,4–6 → Medium aptitude,Graduate,Comfortable / Above average,Mandalay,60,65,0,0,70,70,0,yes,Self-study,2–3 hours,Intermediate,0,Math,IT,Programming / coding clubs,Other (please specify),Canada,,Job availability / employment prospects
2025/09/29 1:54:02 PM GMT+6:30,20/03/1990,Female,INTP,4–6 → Medium aptitude,Graduate,Comfortable / Above average,Mandalay ,56,62,0,74,78,0,82,no,Self-study,2–3 hours,Advanced,0,Business,Business,"Volunteering at hospitals, clinics, or NGOs",Student Council / Leadership role,Singapore,NUS,Family influence / parental guidance
2025/09/29 2:00:43 PM GMT+6:30,19/06/2007,Female,ISTP,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Online,95,64,0,0,92,91,90,no,Self-study,More than 4 hours,Intermediate,0,Physics,Engineering,Building miniatures / models,Model building recognition,Singapore,Singapore Polytechnic ,Family influence / parental guidance
2025/09/29 2:03:12 PM GMT+6:30,11/07/2003,Male,INFP,4–6 → Medium aptitude,Graduate,Comfortable / Above average,Mandalay,95,95,90,90,93,95,93,no,Self-study,1–2 hours,Advanced,0,Science,Business,Debate / Public Speaking,Other (please specify),USA,,Personal interest / passion
2025/09/29 2:13:30 PM GMT+6:30,05/05/2004,Female,ISFP,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay,70,72,90,90,70,68,70,no,Tuition / Extra Classes,2–3 hours,Beginner,0,Chemistry,Medicine,"Volunteering at hospitals, clinics, or NGOs",Other (please specify),Canada;Thailand,"McGill University,Chulalongkorn University",Personal interest / passion
2025/09/29 3:01:42 PM GMT+6:30,28/01/2008,Male,INTJ,4–6 → Medium aptitude,Graduate,Comfortable / Above average,Mandalay,93,90,90,94,98,0,0,no,Self-study,3–4 hours,Advanced,0,Chemistry,Medicine,"Volunteering at hospitals, clinics, or NGOs",Volunteering recognition,UK,,Personal interest / passion
2025/09/29 3:42:59 PM GMT+6:30,07/01/2007,Female,ISFJ,9–10 → Exceptional aptitude,Non-Graduate,Comfortable / Above average,Mandalay ,78,94,0,0,0,0,0,yes,Self-study,More than 4 hours,Beginner,0,English,IT,DIY projects,DIY / Project recognition,UK;USA,parsons school of design,Personal interest / passion
2025/09/29 5:35:05 PM GMT+6:30,21/10/1999,Female,INFJ,7–8 → High aptitude,Non-Graduate,Moderate / Average,Mandalay ,50,42,0,42,43,0,0,no,Self-study,2–3 hours,Intermediate,0,English,Business,Debate / Public Speaking;DIY projects;Building miniatures / models,DIY / Project recognition,Canada,,Personal interest / passion
2025/09/29 5:50:02 PM GMT+6:30,03/06/2005,Female,ISTJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay ,80,75,90,90,90,0,0,no,Self-study,2–3 hours,Intermediate,0,English,Medicine,"Debate / Public Speaking;Student Council / Leadership Roles;Volunteering at hospitals, clinics, or NGOs",Other (please specify),Thailand,I really want to get scholar with acupuncture to china.,Third year student in UTM
2025/09/29 7:24:10 PM GMT+6:30,29/06/2002,Female,ISTJ,7–8 → High aptitude,Non-Graduate,Moderate / Average,Hteegyaint ,80,61,89,80,66,0,0,no,Self-study,2–3 hours,Beginner,0,English,Medicine,"Volunteering at hospitals, clinics, or NGOs",Other (please specify),Thailand,No,Family influence / parental guidance
2025/09/29 8:21:30 PM GMT+6:30,25/03/2007,Male,INFJ,4–6 → Medium aptitude,Graduate,Comfortable / Above average,Mandalay,83,88,0,0,89,89,0,no,Self-study,2–3 hours,Intermediate,0,Math,IT,Debate / Public Speaking;Student Council / Leadership Roles;Programming / coding clubs,Volunteering recognition,Singapore,Attending Republic Poly now and would love to attend Either NTU or NUS from Singapore,Personal interest / passion
2025/09/29 9:02:34 PM GMT+6:30,03/03/2006,Male,ENTJ,7–8 → High aptitude,Non-Graduate,Moderate / Average,AGTI (KyauKsae),89,62,54,68,72,92,71,no,Tuition / Extra Classes,2–3 hours,Beginner,0,Math,IT,Programming / coding clubs,Programming / Coding award,Canada,Toronto University ,Previous academic performance / aptitude
2025/09/29 10:17:22 PM GMT+6:30,22/08/2003,Female,INFJ,4–6 → Medium aptitude,Graduate,Moderate / Average,Mandalay,68,68,44,72,66,81,66,no,Self-study,2–3 hours,Intermediate,5,English,Business,Debate / Public Speaking;Student Council / Leadership Roles;DIY projects,Student Council / Leadership role,UK,Uclan,Personal interest / passion
2025/09/29 10:28:50 PM GMT+6:30,09/03/2009,Female,ISFJ,4–6 → Medium aptitude,Graduate,,Mdy,60,80,89,0,0,80,70,yes,Self-study,Less than 1 hour,Intermediate,0,Business,Business,Debate / Public Speaking;Student Council / Leadership Roles,Student Council / Leadership role,UK;Canada,,Student
2025/09/29 10:30:36 PM GMT+6:30,04/06/2003,Female,ISFJ,4–6 → Medium aptitude,Graduate,Moderate / Average,"No1 Basic Education High School, Sagaing",50,60,0,60,68,0,70,no,Tuition / Extra Classes,More than 4 hours,Intermediate,0,English,Business,Student Council / Leadership Roles,Other (please specify),Thailand,DPU,Job availability / employment prospects
2025/09/29 11:51:32 PM GMT+6:30,21/08/2007,Male,INTP,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Chaing Mai,83,60,0,0,75,73,0,no,Tuition / Extra Classes,3–4 hours,Intermediate,6.5,Math,Engineering,DIY projects,Other (please specify),Thailand,Chulalongkorn University,Personal interest / passion
2025/09/30 12:56:55 AM GMT+6:30,20/08/2006,Female,ISFP,4–6 → Medium aptitude,Graduate,Moderate / Average,Mandalay ,80,50,0,75,70,80,0,no,Self-study,1–2 hours,Intermediate,0,Math,Engineering,Debate / Public Speaking;DIY projects,Other (please specify),USA;Canada,,Personal interest / passion
2025/09/30 7:01:39 AM GMT+6:30,17/02/2000,Male,ESTJ,9–10 → Exceptional aptitude,Non-Graduate,Moderate / Average,Mahlaing,85,79,97,93,70,0,0,no,Self-study,Less than 1 hour,Intermediate,6,ICT,IT,"Student Council / Leadership Roles;Volunteering at hospitals, clinics, or NGOs",Volunteering recognition,UK;Canada,"UK Wolver, Now, attending BSc for CS at Wolver",Previous academic performance / aptitude
2025/09/30 7:57:05 AM GMT+6:30,09/03/2008,Female,ISFP,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay ,89,81,0,93,92,91,0,no,Self-study,3–4 hours,Advanced,0,Physics,Engineering,Student Council / Leadership Roles,Other (please specify),Singapore,,Previous academic performance / aptitude
2025/09/30 1:17:05 PM GMT+6:30,30/03/2009,Male,INFP,4–6 → Medium aptitude,Non-Graduate,Moderate / Average,Mdy,70,60,0,0,0,65,87,yes,Self-study,1–2 hours,Intermediate,6,Business,Business,DIY projects,DIY / Project recognition,UK,New castle ,Job availability / employment prospects
2025/09/30 1:19:22 PM GMT+6:30,27/12/2006,Female,ESFJ,7–8 → High aptitude,Graduate,Comfortable / Above average,Pakokku,98,63,0,89,92,100,0,yes,Self-study,More than 4 hours,Intermediate,0,Physics,Engineering,"Volunteering at hospitals, clinics, or NGOs;Science clubs;Building miniatures / models",Other (please specify),Canada,Toronto ,Personal interest / passion
2025/09/30 1:22:42 PM GMT+6:30,07/04/2008,Female,INTP,4–6 → Medium aptitude,Graduate,Moderate / Average,Mandalay,40,80,0,0,49,50,0,yes,Tuition / Extra Classes,2–3 hours,Intermediate,0,English,IT,Programming / coding clubs;DIY projects;Building miniatures / models,Other (please specify),Singapore,,Personal interest / passion
2025/09/30 1:22:50 PM GMT+6:30,12/11/2009,Male,ENFP,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay,50,80,80,90,60,60,0,yes,Group study,Less than 1 hour,Advanced,0,Chemistry,Medicine,Debate / Public Speaking;Student Council / Leadership Roles;Programming / coding clubs,Science fair / Olympiad prize,UK,Oxford University,Previous academic performance / aptitude
2025/09/30 1:23:09 PM GMT+6:30,19/04/2009,Female,ENFP,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay,40,95,50,80,50,50,0,yes,Tuition / Extra Classes,1–2 hours,Advanced,0,English,Medicine,Debate / Public Speaking;Science clubs;DIY projects,DIY / Project recognition,UK,king's college london,Family influence / parental guidance
2025/09/30 1:23:38 PM GMT+6:30,25/06/2009,Female,ISTP,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay,95,79,0,87,92,78,0,yes,Self-study,3–4 hours,Intermediate,0,Math,Engineering,Debate / Public Speaking;Building miniatures / models,Model building recognition,Canada,NTU,Personal interest / passion
2025/09/30 1:23:55 PM GMT+6:30,11/11/2009,Male,ESFP,4–6 → Medium aptitude,Graduate,Moderate / Average,Mandalay,60,72,66,81,64,71,0,yes,Tuition / Extra Classes,1–2 hours,Intermediate,0,Physics,Medicine,Science clubs,Other (please specify),UK,,Personal interest / passion
2025/09/30 1:27:26 PM GMT+6:30,01/09/2008,Male,INFP,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay,80,80,0,75,75,75,0,yes,Tuition / Extra Classes,3–4 hours,Advanced,0,Physics,Engineering,Debate / Public Speaking;DIY projects,Science fair / Olympiad prize,UK,Oxford,Personal interest / passion
2025/09/30 1:29:19 PM GMT+6:30,07/05/2009,Female,ENFJ,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Mandalay,80,98,0,90,78,80,0,yes,Self-study,2–3 hours,Advanced,0,English,Engineering,DIY projects,Debate / Public Speaking awards,Singapore,NUS,Personal interest / passion
2025/09/30 1:34:17 PM GMT+6:30,03/08/2007,Female,INFJ,4–6 → Medium aptitude,Graduate,Moderate / Average,Mandalay,85,79,0,93,90,59,0,yes,Self-study,1–2 hours,Intermediate,0,Chemistry,Engineering,Debate / Public Speaking;DIY projects,DIY / Project recognition,Canada,Haven’t choose yet,Personal interest / passion
2025/09/30 1:40:58 PM GMT+6:30,01/08/2007,Prefer not to say,ENTJ,7–8 → High aptitude,Non-Graduate,Comfortable / Above average,"60th street, between 40×41",73,72,92,78,67,80,79,yes,Self-study,Less than 1 hour,Advanced,0,Science,Medicine,Debate / Public Speaking;DIY projects,Debate / Public Speaking awards,UK;USA,,Country situation 
2025/09/30 1:55:20 PM GMT+6:30,07/08/2009,Prefer not to say,ISTJ,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay,65,91,85,82,76,63,96,yes,Self-study,2–3 hours,Intermediate,0,English,Business,Debate / Public Speaking,Debate / Public Speaking awards,UK;USA,,Personal interest / passion
2025/09/30 2:04:25 PM GMT+6:30,30/09/2025,Female,ENTJ,7–8 → High aptitude,Graduate,Moderate / Average,GIC,98,84,96,88,92,88,78,yes,Tuition / Extra Classes,3–4 hours,Intermediate,0,Physics,Engineering,Debate / Public Speaking;Science clubs;Building miniatures / models,Student Council / Leadership role,UK;Canada;Thailand,Oxford ,Personal interest / passion
2025/09/30 3:34:21 PM GMT+6:30,15/12/2008,Female,ESFP,4–6 → Medium aptitude,Non-Graduate,Moderate / Average,Mandalay ,60,50,0,0,0,50,65,yes,Self-study,3–4 hours,Intermediate,0,Business,Business,Debate / Public Speaking;Student Council / Leadership Roles,Debate / Public Speaking awards,UK;Canada,Oxford University ,Personal interest / passion
2025/09/30 4:56:30 PM GMT+6:30,23/10/2007,Female,ENFP,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay ,70,70,50,90,60,95,0,yes,Tuition / Extra Classes,Less than 1 hour,Intermediate,0,ICT,IT,Programming / coding clubs,Other (please specify),UK;USA,MIT ,Personal interest / passion
2025/09/30 6:38:23 PM GMT+6:30,07/03/2008,Male,INFJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay,89,76,79,80,86,85,0,yes,Self-study,1–2 hours,Intermediate,0,Math,IT,Programming / coding clubs,Programming / Coding award,UK;Canada;Singapore,,Personal interest / passion
2025/09/30 6:44:36 PM GMT+6:30,19/07/2007,Female,INFJ,4–6 → Medium aptitude,Non-Graduate,Comfortable / Above average,Mandalay,100,78,97,95,85,91,0,yes,Self-study,1–2 hours,Intermediate,0,Math,Medicine,Debate / Public Speaking,Student Council / Leadership role,Canada,Toronto ,Personal interest / passion
2025/09/30 7:16:03 PM GMT+6:30,18/09/2007,Male,INFP,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay,95,93,91,0,0,98,0,no,Self-study,3–4 hours,Advanced,8.5,Science,Business,"Volunteering at hospitals, clinics, or NGOs",Volunteering recognition,Canada,,Peer influence / friends
2025/09/30 7:43:21 PM GMT+6:30,17/06/2011,Male,INTJ,4–6 → Medium aptitude,Non-Graduate,Comfortable / Above average,Yangoon,76,50,80,80,85,80,80,yes,Self-study,1–2 hours,Intermediate,0,Business,Business,Student Council / Leadership Roles,Volunteering recognition,UK,Probably Cambridge or oxford ,Personal interest / passion
2025/09/30 7:47:13 PM GMT+6:30,01/12/2008,Male,INFJ,4–6 → Medium aptitude,Non-Graduate,Moderate / Average,North Dagon,80,95,80,60,60,34,22,yes,Self-study,1–2 hours,Advanced,0,English,IT,Student Council / Leadership Roles;Building miniatures / models,Other (please specify),USA;Canada,,Personal interest / passion
