Favorite_Subject,Math,Address,Hackathons / App development projects,English,Average_Score,Programming / coding clubs,Physics,Age_Group,Business,Chemistry,Building miniatures / models,Aptitude,ICT,Model building recognition,Other (please specify),Chosen_University,Debate / Public Speaking,Study_Country,Family_Lifestyle_Encoded,Bio,Personality_Trait,English_Proficiency,Programming / Coding award,IELTS_Score,DIY projects,Study_Habit,Parents_Education_Encoded,"Volunteering at hospitals, clinics, or NGOs",Gender,Career_Interest
2.0,92.0,48.0,0.0,80.0,89.16666666666667,0.0,93.0,1.0,0.0,91.0,0.0,2.0,90.0,0.0,0.0,99.0,0.0,6.0,2.0,89.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
2.0,88.0,49.0,0.0,90.0,74.0,0.0,78.0,1.0,50.0,85.0,0.0,1.0,67.0,0.0,0.0,39.0,0.0,20.0,1.0,60.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2
3.0,90.0,48.0,1.0,80.0,80.0,1.0,70.0,1.0,0.0,0.0,0.0,2.0,80.0,0.0,0.0,99.0,0.0,15.0,2.0,0.0,9.0,2.0,1.0,5.5,1.0,1.0,1.0,0.0,1.0,1
3.0,68.0,54.0,0.0,63.0,79.0,0.0,82.0,1.0,0.0,88.0,0.0,2.0,0.0,0.0,1.0,102.0,0.0,18.0,1.0,94.0,12.0,2.0,0.0,4.5,0.0,4.0,0.0,1.0,1.0,2
4.0,56.0,18.0,0.0,54.0,49.42857142857143,0.0,40.0,1.0,50.0,41.0,0.0,1.0,50.0,0.0,1.0,99.0,1.0,5.0,2.0,55.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2
4.0,89.0,57.0,0.0,80.0,84.5,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,96.0,1.0,11.0,1.0,0.0,8.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,1
6.0,86.0,25.0,0.0,82.0,81.83333333333333,0.0,78.0,1.0,0.0,85.0,0.0,2.0,84.0,0.0,1.0,99.0,0.0,4.0,2.0,76.0,9.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
4.0,83.0,48.0,0.0,70.0,79.5,0.0,0.0,1.0,90.0,0.0,0.0,1.0,75.0,0.0,0.0,62.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,0
6.0,94.0,48.0,0.0,81.0,90.0,0.0,93.0,1.0,0.0,94.0,0.0,3.0,83.0,0.0,0.0,99.0,1.0,10.0,2.0,95.0,12.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2
6.0,97.0,25.0,0.0,95.0,95.75,0.0,0.0,2.0,0.0,94.0,0.0,3.0,0.0,0.0,1.0,106.0,1.0,18.0,2.0,97.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
6.0,97.0,22.0,0.0,80.0,87.4,0.0,94.0,1.0,0.0,96.0,0.0,1.0,70.0,0.0,0.0,99.0,0.0,14.0,1.0,0.0,15.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
4.0,84.0,26.0,0.0,90.0,88.4,0.0,98.0,0.0,0.0,84.0,0.0,2.0,0.0,0.0,1.0,99.0,1.0,18.0,1.0,86.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2
3.0,68.0,28.0,0.0,82.0,62.25,1.0,56.0,1.0,0.0,43.0,0.0,1.0,0.0,0.0,1.0,21.0,0.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1
2.0,95.0,25.0,1.0,85.0,88.66666666666667,1.0,85.0,0.0,0.0,80.0,0.0,3.0,97.0,0.0,0.0,50.0,0.0,10.0,2.0,90.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1
4.0,91.0,25.0,0.0,43.0,65.33333333333333,0.0,75.0,1.0,0.0,30.0,0.0,1.0,65.0,0.0,1.0,99.0,0.0,4.0,2.0,88.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3
5.0,34.0,25.0,0.0,78.0,55.0,0.0,78.0,1.0,0.0,0.0,0.0,3.0,30.0,0.0,0.0,25.0,0.0,6.0,2.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3.0,85.0,25.0,0.0,70.0,76.75,0.0,76.0,1.0,0.0,0.0,0.0,3.0,76.0,0.0,1.0,99.0,0.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3
2.0,76.0,8.0,0.0,92.0,82.0,0.0,80.0,1.0,0.0,68.0,0.0,2.0,86.0,0.0,0.0,85.0,0.0,0.0,1.0,90.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2
3.0,96.0,25.0,0.0,70.0,90.75,0.0,98.0,1.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,99.0,0.0,14.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
6.0,90.0,37.0,0.0,85.0,86.42857142857143,0.0,95.0,1.0,75.0,85.0,0.0,2.0,85.0,0.0,0.0,60.0,0.0,0.0,1.0,90.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2
2.0,56.0,48.0,0.0,65.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,99.0,1.0,6.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1
0.0,72.0,26.0,0.0,85.0,85.14285714285714,0.0,82.0,1.0,70.0,91.0,0.0,1.0,100.0,0.0,0.0,100.0,0.0,4.0,2.0,96.0,8.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0
4.0,90.0,25.0,0.0,90.0,87.5,0.0,80.0,1.0,0.0,0.0,0.0,1.0,90.0,0.0,0.0,99.0,0.0,4.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
2.0,55.0,25.0,0.0,95.0,83.57142857142857,0.0,90.0,1.0,80.0,95.0,0.0,2.0,80.0,0.0,1.0,99.0,0.0,14.0,1.0,90.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
2.0,82.0,25.0,0.0,83.0,67.66666666666667,0.0,0.0,1.0,0.0,0.0,0.0,2.0,38.0,0.0,0.0,95.0,1.0,6.0,1.0,0.0,11.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0
2.0,78.0,26.0,0.0,83.0,75.625,0.0,72.5,1.0,0.0,0.0,0.0,2.0,69.0,0.0,0.0,75.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
3.0,77.0,25.0,0.0,89.0,82.33333333333333,0.0,86.0,1.0,0.0,65.0,0.0,2.0,87.0,0.0,1.0,99.0,1.0,4.0,1.0,90.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2
4.0,70.0,28.0,0.0,60.0,67.5,0.0,0.0,1.0,80.0,0.0,0.0,2.0,60.0,0.0,0.0,99.0,1.0,4.0,1.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
4.0,88.0,54.0,0.0,44.5,64.7,0.0,76.0,1.0,0.0,45.0,1.0,1.0,70.0,0.0,1.0,99.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
2.0,60.0,25.0,0.0,80.0,55.833333333333336,0.0,40.0,1.0,45.0,50.0,0.0,1.0,60.0,0.0,1.0,14.0,1.0,18.0,2.0,0.0,12.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0
4.0,75.0,25.0,0.0,80.0,73.0,0.0,75.0,1.0,0.0,70.0,1.0,3.0,65.0,0.0,0.0,59.0,0.0,4.0,2.0,0.0,13.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
4.0,85.0,25.0,0.0,45.0,80.33333333333333,0.0,89.0,1.0,0.0,95.0,1.0,3.0,85.0,0.0,1.0,104.0,0.0,4.0,2.0,83.0,14.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
4.0,95.0,48.0,0.0,70.0,80.0,0.0,82.0,1.0,73.0,80.0,1.0,2.0,0.0,1.0,0.0,99.0,0.0,18.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3
4.0,60.0,25.0,0.0,65.0,66.25,1.0,70.0,1.0,0.0,0.0,0.0,1.0,70.0,0.0,1.0,99.0,0.0,0.0,2.0,0.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.0,56.0,26.0,0.0,62.0,70.4,0.0,78.0,1.0,82.0,74.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,4.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
5.0,95.0,35.0,0.0,64.0,86.4,0.0,92.0,1.0,90.0,0.0,1.0,3.0,91.0,1.0,0.0,63.0,0.0,4.0,2.0,0.0,15.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3
6.0,95.0,25.0,0.0,95.0,93.0,0.0,93.0,2.0,93.0,90.0,0.0,1.0,95.0,0.0,1.0,99.0,1.0,18.0,2.0,90.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
1.0,70.0,25.0,0.0,72.0,75.71428571428571,0.0,70.0,2.0,70.0,90.0,0.0,2.0,68.0,0.0,1.0,33.0,0.0,3.0,2.0,90.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2
1.0,93.0,25.0,0.0,90.0,93.0,0.0,98.0,1.0,0.0,94.0,0.0,1.0,0.0,0.0,0.0,99.0,0.0,6.0,2.0,90.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2
2.0,78.0,26.0,0.0,94.0,86.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,103.0,0.0,13.0,2.0,0.0,12.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1
2.0,50.0,26.0,0.0,42.0,44.25,0.0,43.0,2.0,0.0,42.0,1.0,2.0,0.0,0.0,0.0,99.0,1.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
2.0,80.0,26.0,0.0,75.0,85.0,0.0,90.0,1.0,0.0,90.0,0.0,3.0,0.0,0.0,1.0,20.0,1.0,5.0,1.0,90.0,14.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2
2.0,80.0,17.0,0.0,61.0,75.2,0.0,66.0,2.0,0.0,80.0,0.0,2.0,0.0,0.0,1.0,48.0,0.0,5.0,1.0,89.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2
4.0,83.0,25.0,0.0,88.0,87.25,1.0,89.0,1.0,0.0,0.0,0.0,1.0,89.0,0.0,0.0,2.0,1.0,4.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
4.0,89.0,2.0,0.0,62.0,72.57142857142857,1.0,72.0,1.0,71.0,68.0,0.0,2.0,92.0,0.0,0.0,68.0,0.0,0.0,1.0,54.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
2.0,68.0,25.0,0.0,68.0,66.42857142857143,0.0,66.0,2.0,66.0,72.0,0.0,1.0,81.0,0.0,0.0,74.0,1.0,6.0,1.0,44.0,8.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0
0.0,60.0,27.0,0.0,80.0,75.8,0.0,0.0,1.0,70.0,0.0,0.0,1.0,80.0,0.0,0.0,99.0,1.0,7.0,2.0,89.0,12.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0
2.0,50.0,32.0,0.0,60.0,61.6,0.0,68.0,2.0,70.0,60.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,5.0,1.0,0.0,12.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0
4.0,83.0,5.0,0.0,60.0,72.75,0.0,75.0,1.0,0.0,0.0,0.0,3.0,73.0,0.0,1.0,9.0,0.0,5.0,2.0,0.0,11.0,2.0,0.0,6.5,1.0,2.0,1.0,0.0,1.0,3
4.0,80.0,26.0,0.0,50.0,71.0,0.0,70.0,1.0,0.0,75.0,0.0,1.0,80.0,0.0,1.0,99.0,1.0,19.0,1.0,0.0,13.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
3.0,85.0,23.0,0.0,79.0,84.8,0.0,70.0,2.0,0.0,93.0,0.0,3.0,0.0,0.0,0.0,73.0,0.0,7.0,1.0,97.0,6.0,2.0,0.0,6.0,0.0,3.0,0.0,1.0,1.0,1
5.0,89.0,26.0,0.0,81.0,89.2,0.0,92.0,1.0,0.0,93.0,0.0,3.0,91.0,0.0,1.0,99.0,0.0,4.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3
0.0,70.0,27.0,0.0,60.0,70.5,0.0,0.0,1.0,87.0,0.0,0.0,1.0,65.0,0.0,0.0,47.0,0.0,6.0,1.0,0.0,9.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0
5.0,98.0,36.0,0.0,63.0,88.4,0.0,92.0,1.0,0.0,89.0,1.0,2.0,100.0,0.0,1.0,67.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,3
2.0,40.0,25.0,0.0,80.0,54.75,1.0,49.0,1.0,0.0,0.0,1.0,1.0,50.0,0.0,1.0,99.0,0.0,4.0,1.0,0.0,11.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
1.0,50.0,25.0,0.0,80.0,70.0,1.0,60.0,1.0,0.0,90.0,0.0,2.0,60.0,0.0,0.0,52.0,1.0,6.0,1.0,80.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2
2.0,40.0,25.0,0.0,95.0,60.833333333333336,0.0,50.0,1.0,0.0,80.0,0.0,2.0,50.0,0.0,0.0,97.0,1.0,6.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
4.0,95.0,25.0,0.0,79.0,86.2,0.0,92.0,1.0,0.0,87.0,1.0,2.0,78.0,1.0,0.0,36.0,1.0,0.0,2.0,0.0,15.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3
5.0,60.0,25.0,0.0,72.0,69.0,0.0,64.0,1.0,0.0,81.0,0.0,1.0,71.0,0.0,1.0,99.0,0.0,6.0,1.0,66.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2
5.0,80.0,25.0,0.0,80.0,77.0,0.0,75.0,1.0,0.0,75.0,0.0,2.0,75.0,0.0,0.0,50.0,1.0,6.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3
2.0,80.0,25.0,0.0,98.0,85.2,0.0,78.0,1.0,0.0,90.0,0.0,3.0,80.0,0.0,0.0,38.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3
1.0,85.0,25.0,0.0,79.0,81.2,0.0,90.0,1.0,0.0,93.0,0.0,1.0,59.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
6.0,73.0,0.0,0.0,72.0,77.28571428571429,0.0,67.0,1.0,79.0,78.0,0.0,2.0,80.0,0.0,0.0,99.0,1.0,13.0,2.0,92.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2
2.0,65.0,25.0,0.0,91.0,79.71428571428571,0.0,76.0,1.0,96.0,82.0,0.0,2.0,63.0,0.0,0.0,99.0,1.0,13.0,2.0,85.0,14.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
5.0,98.0,8.0,0.0,84.0,89.14285714285714,0.0,92.0,1.0,78.0,88.0,1.0,2.0,88.0,0.0,0.0,51.0,1.0,9.0,1.0,96.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3
0.0,60.0,26.0,0.0,50.0,56.25,0.0,0.0,1.0,65.0,0.0,0.0,1.0,50.0,0.0,0.0,53.0,1.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
3.0,70.0,26.0,0.0,70.0,72.5,1.0,60.0,1.0,0.0,90.0,0.0,2.0,95.0,0.0,1.0,28.0,0.0,13.0,2.0,50.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1
4.0,89.0,25.0,0.0,76.0,82.5,1.0,86.0,1.0,0.0,80.0,0.0,3.0,85.0,0.0,0.0,99.0,0.0,8.0,1.0,79.0,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
4.0,100.0,25.0,0.0,78.0,91.0,0.0,85.0,1.0,0.0,95.0,0.0,1.0,91.0,0.0,0.0,67.0,1.0,0.0,2.0,97.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6.0,95.0,25.0,0.0,93.0,94.25,0.0,0.0,1.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,99.0,0.0,0.0,2.0,91.0,9.0,0.0,0.0,8.5,0.0,2.0,1.0,1.0,1.0,0
0.0,76.0,51.0,0.0,50.0,75.85714285714286,0.0,85.0,0.0,80.0,80.0,0.0,1.0,80.0,0.0,0.0,57.0,0.0,6.0,2.0,80.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2.0,80.0,33.0,0.0,95.0,69.85714285714286,0.0,60.0,1.0,80.0,60.0,1.0,1.0,34.0,0.0,1.0,99.0,0.0,19.0,1.0,80.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0,83.0,49.0,0.0,80.0,89.5,0.0,0.0,1.0,95.0,0.0,0.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0
5.0,95.0,28.0,0.0,75.0,87.2,1.0,95.0,0.0,0.0,79.0,1.0,1.0,92.0,0.0,1.0,99.0,1.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,3
3.0,75.0,25.0,0.0,90.0,77.5,0.0,80.0,0.0,0.0,75.0,0.0,2.0,70.0,0.0,1.0,19.0,1.0,19.0,1.0,75.0,10.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
4.0,90.0,25.0,0.0,76.0,76.5,0.0,70.0,1.0,0.0,0.0,0.0,3.0,70.0,0.0,1.0,76.0,1.0,6.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
0.0,70.0,25.0,0.0,85.0,77.5,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,56.0,0.0,4.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0
2.0,74.0,25.0,0.0,75.0,75.42857142857143,0.0,64.0,1.0,95.0,65.0,0.0,2.0,70.0,0.0,1.0,38.0,0.0,4.0,1.0,85.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
5.0,80.0,25.0,0.0,65.0,77.5,0.0,95.0,1.0,65.0,90.0,0.0,3.0,70.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3
4.0,93.0,26.0,0.0,97.0,93.5,0.0,96.0,1.0,0.0,88.0,1.0,3.0,99.0,0.0,0.0,99.0,1.0,7.0,1.0,88.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0
4.0,95.0,26.0,0.0,80.0,87.0,0.0,93.0,1.0,0.0,85.0,1.0,3.0,82.0,0.0,1.0,99.0,0.0,10.0,1.0,0.0,11.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3
4.0,98.6,48.0,1.0,95.5,89.775,1.0,85.0,1.0,0.0,0.0,0.0,2.0,80.0,0.0,1.0,46.0,0.0,4.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1
5.0,60.0,48.0,1.0,44.0,61.57142857142857,1.0,74.0,2.0,70.0,44.0,0.0,1.0,70.0,0.0,1.0,99.0,1.0,6.0,1.0,69.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
4.0,90.0,49.0,0.0,78.0,84.6,0.0,90.0,1.0,0.0,85.0,0.0,2.0,0.0,0.0,0.0,99.0,0.0,11.0,1.0,80.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.0,50.0,49.0,0.0,68.0,75.25,0.0,0.0,1.0,88.0,0.0,0.0,3.0,95.0,0.0,1.0,58.0,1.0,7.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
4.0,90.0,25.0,0.0,70.0,83.8,0.0,80.0,1.0,0.0,80.0,0.0,2.0,99.0,0.0,0.0,50.0,0.0,6.0,2.0,0.0,14.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
3.0,57.0,3.0,1.0,68.0,66.6,1.0,65.0,2.0,0.0,78.0,0.0,2.0,0.0,0.0,0.0,82.0,1.0,17.0,2.0,65.0,9.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1
4.0,82.0,25.0,1.0,87.0,81.8,1.0,73.0,0.0,0.0,83.0,0.0,3.0,84.0,0.0,0.0,38.0,0.0,4.0,1.0,0.0,11.0,2.0,1.0,8.0,1.0,3.0,1.0,0.0,1.0,1
3.0,60.0,21.0,0.0,75.0,69.25,0.0,60.0,1.0,0.0,0.0,0.0,3.0,82.0,0.0,0.0,79.0,1.0,6.0,1.0,0.0,12.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1
3.0,82.0,48.0,1.0,70.0,76.6,1.0,84.0,2.0,0.0,87.0,0.0,2.0,0.0,0.0,1.0,99.0,0.0,14.0,1.0,60.0,11.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
4.0,98.0,40.0,0.0,65.0,77.71428571428571,0.0,60.0,2.0,82.0,88.0,1.0,3.0,77.0,0.0,1.0,83.0,1.0,7.0,0.0,74.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3
4.0,98.0,25.0,0.0,87.0,92.33333333333331,1.0,85.0,1.0,0.0,94.0,0.0,3.0,94.0,0.0,0.0,77.0,1.0,10.0,1.0,96.0,8.0,2.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,2
4.0,75.0,41.0,0.0,75.0,75.0,0.0,75.0,2.0,0.0,75.0,0.0,1.0,0.0,0.0,0.0,99.0,0.0,6.0,2.0,75.0,12.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0
6.0,93.0,28.0,0.0,96.0,95.5,0.0,90.0,1.0,0.0,97.0,0.0,2.0,98.0,0.0,1.0,16.0,1.0,14.0,2.0,99.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
3.0,70.0,25.0,0.0,90.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,38.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,1.0,1
2.0,95.0,25.0,0.0,80.0,90.66666666666669,0.0,97.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,99.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
4.0,96.0,42.0,0.0,65.0,88.6,0.0,94.0,1.0,0.0,96.0,0.0,3.0,92.0,0.0,0.0,64.0,0.0,4.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3
5.0,80.0,48.0,0.0,80.0,81.0,0.0,80.0,2.0,0.0,80.0,0.0,3.0,85.0,0.0,0.0,99.0,0.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0
2.0,86.0,4.0,0.0,95.0,76.4,1.0,69.0,1.0,0.0,67.0,0.0,3.0,65.0,1.0,1.0,18.0,0.0,10.0,1.0,0.0,8.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,3
2.0,81.0,45.0,0.0,69.0,77.6,0.0,80.0,2.0,0.0,80.0,0.0,3.0,0.0,0.0,0.0,99.0,0.0,5.0,0.0,78.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
